제목,장점,단점,경영진에게 하고싶은 말
개발자들과의 소통이 원활하고 인턴임에도 바로바로 연락할 수 있을 정도의 수평적인 관계를 가지고 있음.,연차를 한달에 1번씩 스케줄체크한 후 미리 얘기하고 쓸 수 있었고 아침에 먹을 수 있는 빵이 카페테리아와 카페가 사내에 있어 편하게 먹을 수 있음.,수평적으로 대하는 듯 하나 인턴 동기들과 밥을 먹다보니 팀원분들과의 사이가 벌어지는 듯한 느낌이 들기도 했으나 한주에 한번씩 점심밥을 같이 먹으며 친분을 쌓음.,오랜시간 일을 하지는 않았으나 다른 사람의 자리에 들어가면서 경영에서 느낀것은 부서에 팀원이 자주 바뀔 만큼 힘들거나 안정적이라는 느낌이 들지는 않았음.
야근강요없음. 상장사. 연차사용자유. 그외 장점은 본인 역량.,다양한 도전을 해볼수 있음. 야근강요없음. 연차사용자유. 상장사.,다른 회사의 단점과 비슷.(급할 때 인력 충원 속도가 좋진 않음),"개발자 처우가 비교적 좋다고 생각하는듯 하나, 근래 동종 업종의 개발자 처우의 최대치는 부족해보임.. (처우 최대치가 타업체 평균치와 같으면, 실력있는 신입지원자가 줄어듦..)"
벌이는 일은 많지만 수습은 잘 못함. 무엇을 위해 고생하고 일하고 일하고 있는지 현타가 자주 옴..,연차나 휴가 사용이 자유로움. 복장 규제가 없음. 야근 안하는 분위기.,업무에 비해 너무 적은 연봉. 특히 비개발자직군의 처우가 너무 심하다고 생각함.,"직원들의 고질적인 불만.. 충분히 많이 들은걸로 알고있습니다. 듣지만 말고 행동할 때가 아닐까요. 하나 더, 개발자만큼 비개발자도 대체하기 어렵습니다. 사람을 소중히 생각해주세요."
좋은 사람들과 좋은 환경에서 일할 수 있는 개발자에게 정말 좋은 회사입니다.,"자유로운 연차 사용, 탄력적 출퇴근, 안락한 카페테리아",좀 더 다양한 복지 제도가 도입 되었으면 좋겠습니다..,딱히 없지만 연봉을 많이 올려주셨으면 좋겠습니다....
말만 번지르하고 진짜 중요한 건 모르는 회사. 회사가 오래 살아남으려면 시장이 어떻게 돌아가는지 아셔야합니다.,젊다는 것. 모든게 다 신선하다. 다만 너무 젊고 너무 신선해서 탈이지만..,정치는 정치대로 엉망이고 실력있는 개발자는 다 나가고 있고 고등학교 막 졸업한 애들이 제품 만들고 있고 대표는 어떤 투자받는거에는 관심도 없고..,앞으로 어떻게 나아가야하는지도 물론 고민하셔야겠지만 지금 어떻게 살아 남아야하는지부터 고민하셔야 할 겁니다.
"젊고 자유로운 분위기의 회사, 공익을 위해 끊임없이 고민하는 회사",임직원들이 젊기 때문에 꼰대 문화가 비교적 적은편 본인만 당당하고 자신감 있게 일하면 그 능력을 인정받을 수 있는 회사,회사 자체의 문제는 아니지만 개발 중심의 회사이다보니 다른 쪽의 개발외 부서의 입지가 상대적으로 작게 느껴짐,초심을 잃지말고 앞으로도 더 발전하는 회사가 될 수 있었으면 합니다
IT 관련된 다양한 업무경험 쌓는데 도움이 된다,사람들이 대체로 좋고 업무환경도 좋은편이다. 주니어로써 업무 기회가 많이 주어져서 좋았다.,크게 불편한 정도는 아니고 약간 수직적인 분위기가 존재하였다.,대표님이 열정적이고 직원들과의 소통을 중시하는 것 같아서 좋았다. 기업의 비전이 좀더 명확하면 더욱 동기부여가 될 것 같다
"개발자 위주인데, 개발자가 많지는 않음",휴가를 자유롭게 쓸수 있다. 휴가를 자유롭게 쓸수 있다,"의사결정 단계가 많고 일부에 집중 되어 있으며, 느리다",제발 주변 인재를 잘 활용하시길. 제발 주변 인재를 잘 걸러 내시길
"열심히 돈을 모아둔 돈으로 개발이나 인력에 투자 좀 했으면.,..",생각보다 분위기는 자유료워서 좋다.하지만 젊은 꼰대부터 시작해서 고인물들이 있지만 자나름 자유롭다,꼰대가 많다. 근데 돈은 조금 준다,제발 새로운 신규 산업에 투자 및 인력 투자를 했으면 좋겠습니다..
평범한 사람들이 모여서 일구는 기업이라고 생각한다,모난 사람이 없다 팀에 따라 다르겠지만 워라밸을 중시하는 편이다 기업이 도덕성이 높은 편이라고 생각한다,특출난 사람이 없다 그렇게 때문에 경영진의 의견대로 갈 수 밖에 없는 편이다 경영진의 관심이 미치지 못하는 부서는 생산성에 많은 차이를 보인다,스타 인재를 한 명 정도 두어서 권한을 위임하면 좋은 결과가 나오지 않을까요
공무원처럼 계속 머무르기 좋은 기업 인듯,직업 안정성이 매우뛰어난 듯 요즘은 잘 모르겠지만 자동으로 호봉제로 연봉도 오르고 알약이라는 언제나 먹히는 제품을 가지고 있어서 꾸준함,도대체 찾질 못하는 미래 먹거리와 이미 경직될대로 경직되어버린 기업,"옛날의 성공에 취해서 이것 저것 시도를 해보긴 하지만 혁신적인 도전은 못하고 있음, 그냥 직원들 월급 주기 급급한듯, 투자를 받던 대출을 받던 새로운 도전이 필요해보임"
부서마다 다르지만 실력에 따른 발전의기회가 있는편인듯,"비교적 수평적인 분위기. 상사 부하할것 없이 의견을 제시할 수있고, 업무형태가 비교적 자유롭고 조용한분위기에서 일할수 있었던것 같다. 일반적인 기업에 비해선 IT라 그런지 실력을 우선시하는편",오래있지는 않았지만 위에서 말한장점이 모든 사업부에 해당하는것은 아니고 팀마다 분위기는 꽤 상이한 느낌이었음. 팀 사업부문별로 문화가 상이할 수 있음,경영진에게 크게 바라는 점이 있지는 않았지만 여러모로 인재에 대한 관리를 좀더 힘써주시면 더욱 발전하지 않을까 싶습니다
it 필드를 경험해보고 싶다면 추천. it 회사의 처음부터 끝까지 경험할 수 있음.,연차 자기 결제 제도 좋음. 자유로움. 젊은 사람들이 많음. 열심히 하는 사람들은 잘해서 자극제가 되기도 함.,일이 너무 많음. 사람들이 꾸준히 계속 퇴사하는 것에 대해 깊이 생각하지 않음.,방향성이 뚜렷하지 않아 일을 할때 힘듬
중소기업이지만 대부분 합리적인 사람들과 일할 수 있는 곳,"퇴근할 때 눈치 안봐도 되고, 연차도 자유롭게 낼 수 있는게 좋음","일을 위한 일이 늘어나는 중, 현황파악과 조사 업무가 많아짐",확실한 사업계획을 제시해줬으면.. 이것도 하고 저것도 하고
"이전의 영광으로 아직까지 먹고 사는 회사, 알약 이후로 미래 먹거리가 보이지 않는다","꾸준한 매출 발생으로 인한 임금안전성이 높음, 그리고 호봉제로 연봉이 자동 올라감",미래 발전을 위한 먹거리를 찾지 못하고 있으며 아이티기업이라기에는 너무 딱딱하고 경직된 회사,공무원스러운 회사 분위기가 아니라 좀 더 오픈하고 진취적인 말랑한 기업이 되었으면함
좋은 분위기에서 일할 수 있다. 딱딱하지 않고 수평적이고 자유롭다.,연차를 자유롭게 쓸 수 있다. 아무리 높은 분이라도 후임들에게 꼰대짓을 하지 않는다(IT기준). 세세한 복지도 좋은 편이다. 일만 많지 않다면 칼퇴도 가능하다.,위치가 살짝 애매한 곳에 있어서 교통편이 애매하다.,인사평가를 조금 더 객관적인 지표 아래 해줬으면 좋겠다.
시니어 꿀빨러가 매우 많다. 공무원처럼 다니고 책임회피하고 싶다면 추천,본인이 원한다면 꿀빨러에 합류할 수 있다. 예술의전당이 옆에 있어 꿀빨러에 친화적인 환경이다.,시니어 꿀빨러 아래에서 주니어만 갈리고 결국 이직한다.,유체이탈 화법 그만하시고 본인이 책임을 다하세요.
개발직군 이직 전문학교. 개발자에 의한. 개발자를 위한. 개발자의 회사,수평적인 사무분위기. 업무시간에 하루종일 주변 카페에서 뻐기는 사람이 많음. 그정도로 자유로운 분위기. 휴가 자유로움.,정치에 관심없는 사람은 진급못함. 하루종일 주변 카페에서 죽치는사람들 많음.,능력없이 말만 번지르한 사람들보다 실무에서 고생하는 직원들 처우좀 개선해주길. 이러다 정말 다 떠남.
중견기업으로서 꽤나 탄탄한 길을 걸어왔고 미래사업이 나쁘진 않다.,자유를 표방하나 매우 애매한 부분들이 복합적으로 존재한다. 어찌보면 보수적으로 보일만큼 수직적인 부분도 꽤 있다. 하지만 그래도 좋은 기업으로 발전하려는 가치는 인정한다.,"수직적인 기업문화와 팀 별로 분위기가 너무 달라서 어느 팀은 자유롭고 어느 팀은 독재적이고, 어느 팀은 널널하고 어느 팀은 그냥 매일 바쁘다.",항상 불만은 나오게 되어 있고 경영진이 모든 불만을 다 들어줄 수는 없다고 생각한다. 하지만 단순히 무시가 아닌 고민은 할 필요가 있다.
인턴으로서 다양한 경험을 할 수 있어서 너무 좋았다.,"눈차를 보지않고, 자기개발비용과 월급이 밀리지 않게 잘 나온다. 사회 초년생이 배울게 많은 회사이다",보고를 위한 문서와 회의가 너무 많이 있다. 그리고 딱히 단점은 없다.,신규사업에 말고도 현재 진행중인 사업에도 신경써주세요~
업무적 강도가 높진 않지만 개인이 욕심이 있다면 불만족할 수 있음,워라밸이 나쁘지 않음 능력을 인정 받으면 비교적 낮은 연차에 주도적인 업무를 진행할 수 있음,프로젝트를 잘 해보려 하는 욕심을 가진 사람이 많이 없어보임 고인분들 많음,한창 일을 많이 잘하는 시니어 실무 / 관리자들의 퇴사를 막으면 회사 발전에 도움이 될듯 합니다
워라벨 좋고 조용히 다니기엔 괜찮습니다.,"연차 눈치 안봐도 되고, 회식때 술 강요 일절 없고, 퇴근 눈치 거의 없음",젊은 회사로 보이지만 은근히 막힌 업무 진행 체계. 활발한 사람들이 다니기엔 불편할 수도..,너무 많은 사항에 대해 확인을 바라지않나.. 생각함
그냥그런 회사. 편하게 일하려면 얼마든지 편할 수 있지만 기업 전체적인 비전은 그리 크지 않아보인다.,사내 분위기는 자유로운 편. 사람들도 순둥순둥하고 무난한 편이다. 업무 강도도 그리 높지는 않음.(그러나 신규 사업이 없어서 그런 것 같기도 하고..),비전을 내려줄만한 경영진이 없는 것 같음. 신규 사업도 하는 것마다 좋은 성적을 내고 있는 것 같진 않다.,직원들에게 기업의 방향과 비전을 제시해주었으면 함
항상 다들 열심히 일해주시는 덕분에 회사 짱짱하게 성장하고 있습니다.,다들 열심히하고 서로를 위해 협동하는 마음이 돋보입니다. 많은 것을 배울 수있습니다.,단점은 워라벨 보장이 조금 힘든것 같습니다 워에 조금더 치우쳐져 있는 경향이 있습니다.,워라벨 보장을 조금더 신경 써주시면 굉장히 좋을 것 같습니다.
"IT기업에 맞게 자유로운 분위기, 하지만 성장하는 느낌은 별로 들지 않음","다양한 복지제도가 있으며, 직원만족도를 높이려는 다양한 시도를 함",오래 근무한 사람들이 많아 정체된 느낌이 납니다. 선배들이 후배를 잘 이끌어줄 수 있는 제도가 있으면 좋겠습니다.,실력있는 직원들 유치로 회사의 새로운 성장을 이끌 수 있었음 좋겠다.
개발자 실력들이 좋다. 같이 커갈 수 있는 곳,사람들이 좋다. 서실 이게 제일 중요하다고 본다. 동료가 좋아야 일할 맛도 나니까,좀 일이 많다. 요샌 어떤지 모르겠는데 예전엔 야근야근의 연속이었다.,글쎄 딱히 바라는건 없고 일을 좀 줄였으면 한다.
전반적으로 여자가 일하기 괜찮은 회사인 것 같습니다.,여자 비율이 높아서 그런지 눈치 안 보고 육아휴직 쓰는 것 같았습니다.,스페셜리스트가 아니라 제너럴리스트가 되기를 요구하는 것이 아쉽습니다.,직원들의 말에 더욱 귀를 기울여 주셨으면 좋겠습니다.. ^^
크게 문제가 있지는 않았다. 다만 좀 더 좋은곳이 있지않을까하는 의문을 품게만들뿐이다 경력쌓기좋은곳인등,연차를 당연하게 눈치안보고 사용할 수 있었다 나름 일처리에있어 체계적이여서 일하는덕 문제는 없었다,단순보고를 위한 문서가 많아 번거롭다 의도치않게 일이 생겨 야근을 해야되는 경우가 종종 있었음,신규 사업추진으로 눈에 보이는 발전이 있었음 좀 더 보람있게 일할 수 있을듯하다
기회를 주는 회사 / 능력을 발휘할 수 있는 회사 / 수평적인 회사,젊은 기업이며 업무 적으로 능력있는 사람들이 많은 곳 같다.,IT가 중심이기에 연구나 IT의 기대심리가 높으며 급여도 다르다,계열사를 늘리는것 도 좋지만 이스트 소포트의 고유 제품을 출시하고 홍보에 집중하며 제품력을 높혀 제2의 알집이 탄생하길 바란다.
